Info 0    [12:05:43.636] Starting TS Server
Info 52   [12:54:44.827] Elapsed:: 0.0900599998421967ms DirectoryWatcher:: Triggered with /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages/logger :: WatchInfo: /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 53   [12:54:44.827] DirectoryWatcher:: Triggered with /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages :: WatchInfo: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 54   [12:54:44.827] Elapsed:: 0.19184699980542064ms DirectoryWatcher:: Triggered with /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages :: WatchInfo: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 55   [12:54:44.827] DirectoryWatcher:: Triggered with /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages/logger :: WatchInfo: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 56   [12:54:44.827] Elapsed:: 0.06827200017869473ms DirectoryWatcher:: Triggered with /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages/logger :: WatchInfo: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 57   [12:54:44.827] DirectoryWatcher:: Triggered with /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages :: WatchInfo: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 58   [12:54:44.827] Elapsed:: 0.02992000011727214ms DirectoryWatcher:: Triggered with /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages :: WatchInfo: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 59   [12:54:44.827] DirectoryWatcher:: Triggered with /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages/logger :: WatchInfo: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 60   [12:54:44.827] Elapsed:: 0.018503000028431416ms DirectoryWatcher:: Triggered with /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages/logger :: WatchInfo: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 61   [12:54:45.293] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 62   [12:54:45.299] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 6.070441999938339ms
Info 63   [12:54:46.061] FileWatcher:: Triggered with /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/package.json 1:: WatchInfo: /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/package.json 250 undefined Project:  WatchType: package.json file for import suggestions
Info 64   [12:54:46.061] Elapsed:: 0.22013399982824922ms FileWatcher:: Triggered with /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/package.json 1:: WatchInfo: /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/package.json 250 undefined Project:  WatchType: package.json file for import suggestions
Info 65   [12:54:47.537] Before ensureProjectForOpenFiles:
Info 66   [12:54:47.537] After ensureProjectForOpenFiles:
Info 67   [12:54:47.537] got projects updated in background, updating diagnostics for /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/webpack.config.js,/Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/dist/bundle.js
Info 68   [12:55:03.304] Search path: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/packages/logger/lib
Info 69   [12:55:03.305] For info: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/packages/logger/lib/logger.js :: No config files found.
Info 70   [12:55:03.309] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 71   [12:55:03.344] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 1 structureChanged: true Elapsed: 34.76319099962711ms
Info 72   [12:55:03.344] Project '/dev/null/inferredProject3*' (Inferred)
Info 73   [12:55:03.344] 	Files (6)

Info 74   [12:55:03.344] -----------------------------------------------
Info 75   [12:55:03.505] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 76   [12:55:03.506] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 2 structureChanged: false Elapsed: 0.16694499971345067ms
Info 77   [12:55:05.951] Before ensureProjectForOpenFiles:
Info 78   [12:55:05.951] After ensureProjectForOpenFiles:
Info 79   [12:55:05.951] got projects updated in background, updating diagnostics for /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/webpack.config.js,/Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/dist/bundle.js,/Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/packages/logger/lib/logger.js
Info 80   [12:55:06.899] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 81   [12:55:06.904] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 3 structureChanged: false Elapsed: 5.0955969998613ms
Info 82   [12:55:06.904] Different program with same set of files:: structureIsReused:: 2
Info 83   [12:55:06.999] getCompletionData: Get current token: 0.02192500000819564
Info 84   [12:55:07.000] getCompletionData: Is inside comment: 0.010511999949812889
Info 85   [12:55:07.000] getCompletionData: Get previous token 1: 0.08544000005349517
Info 86   [12:55:07.000] getCompletionsAtPosition: isCompletionListBlocker: 0.409961000084877
Info 87   [12:55:07.006] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 88   [12:55:07.006] forEachExternalModuleToImportFrom: filtered out 0 modules by package.json contents
Info 89   [12:55:07.007] getSymbolsFromOtherSourceFileExports: 0.9012630004435778
Info 90   [12:55:07.008] getCompletionData: Semantic work: 7.966533000115305
Info 91   [12:55:07.020] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.701082000043243
Info 92   [12:55:07.828] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 93   [12:55:07.834] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 4 structureChanged: false Elapsed: 6.04081099992618ms
Info 94   [12:55:07.834] Different program with same set of files:: structureIsReused:: 2
Info 95   [12:55:08.097] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 96   [12:55:08.099] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 5 structureChanged: false Elapsed: 2.709377999883145ms
Info 97   [12:55:08.099] Different program with same set of files:: structureIsReused:: 2
Info 98   [12:55:08.197] getCompletionData: Get current token: 0.012937999796122313
Info 99   [12:55:08.198] getCompletionData: Is inside comment: 0.007375000044703484
Info 100  [12:55:08.198] getCompletionData: Get previous token 1: 0.04191200016066432
Info 101  [12:55:08.198] getCompletionsAtPosition: isCompletionListBlocker: 0.021452000364661217
Info 102  [12:55:08.203] getSymbolsFromOtherSourceFileExports: Using cached list
Info 103  [12:55:08.205] getCompletionData: Semantic work: 7.426434999797493
Info 104  [12:55:08.212] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.548198999837041
Info 105  [12:55:08.218] getCompletionData: Get current token: 0.010991000104695559
Info 106  [12:55:08.218] getCompletionData: Is inside comment: 0.005588000174611807
Info 107  [12:55:08.218] getCompletionData: Get previous token 1: 0.03475000010803342
Info 108  [12:55:08.218] getCompletionsAtPosition: isCompletionListBlocker: 0.021681000012904406
Info 109  [12:55:08.224] getSymbolsFromOtherSourceFileExports: Using cached list
Info 110  [12:55:08.224] getCompletionData: Semantic work: 5.752036000136286
Info 111  [12:55:08.233] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.339529999997467
Info 112  [12:55:08.238] getCompletionData: Get current token: 0.015466999728232622
Info 113  [12:55:08.238] getCompletionData: Is inside comment: 0.0055740000680089
Info 114  [12:55:08.238] getCompletionData: Get previous token 1: 0.032073999755084515
Info 115  [12:55:08.238] getCompletionsAtPosition: isCompletionListBlocker: 0.02539800014346838
Info 116  [12:55:08.242] getSymbolsFromOtherSourceFileExports: Using cached list
Info 117  [12:55:08.242] getCompletionData: Semantic work: 4.492901999969035
Info 118  [12:55:08.248] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.771093999966979
Info 119  [12:55:08.402] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 120  [12:55:08.404] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 6 structureChanged: false Elapsed: 2.1915239999070764ms
Info 121  [12:55:08.404] Different program with same set of files:: structureIsReused:: 2
Info 122  [12:55:09.470] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 123  [12:55:09.472] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 7 structureChanged: false Elapsed: 1.9166179997846484ms
Info 124  [12:55:09.472] Different program with same set of files:: structureIsReused:: 2
Info 125  [12:55:09.611] getCompletionData: Get current token: 0.01382899982854724
Info 126  [12:55:09.612] getCompletionData: Is inside comment: 0.010087000206112862
Info 127  [12:55:09.612] getCompletionData: Get previous token 1: 0.03507600026205182
Info 128  [12:55:09.612] getCompletionData: Get previous token 2: 0.03199999965727329
Info 129  [12:55:09.612] getCompletionsAtPosition: isCompletionListBlocker: 0.03220900008454919
Info 130  [12:55:09.616] getSymbolsFromOtherSourceFileExports: Using cached list
Info 131  [12:55:09.618] getCompletionData: Semantic work: 5.8254329999908805
Info 132  [12:55:09.624] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4.846272999886423
Info 133  [12:55:09.634] getCompletionData: Get current token: 0.009655999951064587
Info 134  [12:55:09.634] getCompletionData: Is inside comment: 0.004222000017762184
Info 135  [12:55:09.634] getCompletionData: Get previous token 1: 0.028983000200241804
Info 136  [12:55:09.634] getCompletionData: Get previous token 2: 0.02630099980160594
Info 137  [12:55:09.634] getCompletionsAtPosition: isCompletionListBlocker: 0.01027899980545044
Info 138  [12:55:09.636] getSymbolsFromOtherSourceFileExports: Using cached list
Info 139  [12:55:09.637] getCompletionData: Semantic work: 3.23287699976936
Info 140  [12:55:09.641] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 3.9720809999853373
Info 141  [12:55:09.644] getCompletionData: Get current token: 0.008429999928921461
Info 142  [12:55:09.644] getCompletionData: Is inside comment: 0.0038270000368356705
Info 143  [12:55:09.644] getCompletionData: Get previous token 1: 0.031421999912709
Info 144  [12:55:09.644] getCompletionData: Get previous token 2: 0.025111999828368425
Info 145  [12:55:09.645] getCompletionsAtPosition: isCompletionListBlocker: 0.008661000058054924
Info 146  [12:55:09.647] getSymbolsFromOtherSourceFileExports: Using cached list
Info 147  [12:55:09.647] getCompletionData: Semantic work: 2.2533859997056425
Info 148  [12:55:09.653] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 4.626591000240296
Info 149  [12:55:10.428] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 150  [12:55:10.432] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 8 structureChanged: false Elapsed: 4.01351199997589ms
Info 151  [12:55:10.432] Different program with same set of files:: structureIsReused:: 2
Info 152  [12:55:10.685] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 153  [12:55:10.687] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 9 structureChanged: false Elapsed: 2.066107999999076ms
Info 154  [12:55:10.687] Different program with same set of files:: structureIsReused:: 2
Info 155  [12:55:10.711] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 156  [12:55:10.713] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 10 structureChanged: false Elapsed: 1.5864989999681711ms
Info 157  [12:55:10.713] Different program with same set of files:: structureIsReused:: 2
Info 158  [12:55:12.817] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 159  [12:55:12.819] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 11 structureChanged: false Elapsed: 2.523116999771446ms
Info 160  [12:55:12.819] Different program with same set of files:: structureIsReused:: 2
Info 161  [12:55:13.108] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 162  [12:55:13.111] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 12 structureChanged: false Elapsed: 3.1124950000084937ms
Info 163  [12:55:13.111] Different program with same set of files:: structureIsReused:: 2
Info 164  [12:55:16.027] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 165  [12:55:16.029] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 13 structureChanged: false Elapsed: 2.072047000285238ms
Info 166  [12:55:16.029] Different program with same set of files:: structureIsReused:: 2
Info 167  [12:55:16.366] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 168  [12:55:16.367] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 14 structureChanged: false Elapsed: 1.4533800003118813ms
Info 169  [12:55:16.367] Different program with same set of files:: structureIsReused:: 2
Info 170  [12:55:16.669] getCompletionData: Get current token: 0.01358299981802702
Info 171  [12:55:16.669] getCompletionData: Is inside comment: 0.007280000019818544
Info 172  [12:55:16.669] getCompletionData: Get previous token 1: 0.0366609999909997
Info 173  [12:55:16.669] getCompletionsAtPosition: isCompletionListBlocker: 0.02369000017642975
Info 174  [12:55:16.674] getSymbolsFromOtherSourceFileExports: Using cached list
Info 175  [12:55:16.676] getCompletionData: Semantic work: 6.593588000163436
Info 176  [12:55:16.679] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2.904312999919057
Info 177  [12:55:17.112] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 178  [12:55:17.114] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 15 structureChanged: false Elapsed: 2.0216880002990365ms
Info 179  [12:55:17.114] Different program with same set of files:: structureIsReused:: 2
Info 180  [12:55:17.435] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 181  [12:55:17.436] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 16 structureChanged: false Elapsed: 1.52947699977085ms
Info 182  [12:55:17.436] Different program with same set of files:: structureIsReused:: 2
Info 183  [12:55:17.990] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 184  [12:55:17.992] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 17 structureChanged: false Elapsed: 2.081581000238657ms
Info 185  [12:55:17.992] Different program with same set of files:: structureIsReused:: 2
Info 186  [12:55:27.228] Search path: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/lib
Info 187  [12:55:27.228] For info: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/lib/server.js :: No config files found.
Info 188  [12:55:27.229] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 189  [12:55:27.400] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 1 structureChanged: true Elapsed: 171.27659500017762ms
Info 190  [12:55:27.400] Project '/dev/null/inferredProject4*' (Inferred)
Info 191  [12:55:27.400] 	Files (140)

Info 192  [12:55:27.400] -----------------------------------------------
Info 193  [12:55:27.627] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 194  [12:55:27.628] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 2 structureChanged: false Elapsed: 0.9078250001184642ms
Info 195  [12:55:29.872] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 196  [12:55:29.904] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 3 structureChanged: false Elapsed: 31.924879000056535ms
Info 197  [12:55:29.904] Different program with same set of files:: structureIsReused:: 2
Info 198  [12:55:30.127] Before ensureProjectForOpenFiles:
Info 199  [12:55:30.127] After ensureProjectForOpenFiles:
Info 200  [12:55:30.127] got projects updated in background, updating diagnostics for /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/webpack.config.js,/Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/dist/bundle.js,/Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/packages/logger/lib/logger.js,/Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/lib/server.js
Info 201  [12:55:30.704] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 202  [12:55:30.727] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 4 structureChanged: false Elapsed: 23.24866099981591ms
Info 203  [12:55:30.727] Different program with same set of files:: structureIsReused:: 2
Info 204  [12:55:30.807] getCompletionData: Get current token: 0.016650000121444464
Info 205  [12:55:30.807] getCompletionData: Is inside comment: 0.03820500010624528
Info 206  [12:55:30.807] getCompletionData: Get previous token 1: 0.021840000059455633
Info 207  [12:55:30.808] getCompletionData: Get previous token 2: 0.20997000019997358
Info 208  [12:55:30.808] getCompletionsAtPosition: isCompletionListBlocker: 0.05415700003504753
Info 209  [12:55:30.814] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 210  [12:55:30.821] forEachExternalModuleToImportFrom: filtered out 53 modules by package.json contents
Info 211  [12:55:30.829] getSymbolsFromOtherSourceFileExports: 14.122432000003755
Info 212  [12:55:30.830] getCompletionData: Semantic work: 22.079590999986976
Info 213  [12:55:30.835] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.084621999878436
Info 214  [12:55:30.940] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 215  [12:55:30.961] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 5 structureChanged: false Elapsed: 21.308222000021487ms
Info 216  [12:55:30.961] Different program with same set of files:: structureIsReused:: 2
Info 217  [12:55:31.349] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 218  [12:55:31.378] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 6 structureChanged: false Elapsed: 29.079522999934852ms
Info 219  [12:55:31.378] Different program with same set of files:: structureIsReused:: 2
Info 220  [12:55:31.604] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 221  [12:55:31.628] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 7 structureChanged: false Elapsed: 24.4054270000197ms
Info 222  [12:55:31.628] Different program with same set of files:: structureIsReused:: 2
Info 223  [12:55:31.880] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 224  [12:55:31.905] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 8 structureChanged: false Elapsed: 24.610523999668658ms
Info 225  [12:55:31.905] Different program with same set of files:: structureIsReused:: 2
Info 226  [12:55:33.367] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 227  [12:55:33.390] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 9 structureChanged: false Elapsed: 23.16109700035304ms
Info 228  [12:55:33.390] Different program with same set of files:: structureIsReused:: 2
Info 229  [12:55:33.677] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 230  [12:55:33.701] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 10 structureChanged: false Elapsed: 24.35038199974224ms
Info 231  [12:55:33.701] Different program with same set of files:: structureIsReused:: 2
Info 232  [12:55:34.733] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 233  [12:55:34.762] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 11 structureChanged: false Elapsed: 29.06678899982944ms
Info 234  [12:55:34.763] Different program with same set of files:: structureIsReused:: 2
Info 235  [12:55:34.788] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 236  [12:55:34.823] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 12 structureChanged: false Elapsed: 34.808874000329524ms
Info 237  [12:55:34.823] Different program with same set of files:: structureIsReused:: 2
Info 238  [12:55:35.098] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 239  [12:55:35.124] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 13 structureChanged: false Elapsed: 25.797799000050873ms
Info 240  [12:55:35.124] Different program with same set of files:: structureIsReused:: 2
Info 241  [12:55:35.634] Starting updateGraphWorker: Project: /dev/null/inferredProject4*
Info 242  [12:55:35.668] Finishing updateGraphWorker: Project: /dev/null/inferredProject4* Version: 14 structureChanged: false Elapsed: 33.87684400007129ms
Info 243  [12:55:35.668] Different program with same set of files:: structureIsReused:: 2
